Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT
Date,,,,,,,,,,
2016-01-04,23.730945587158203,47.874183654785156,23.735451712532264,47.874183654785156,22.97633113383233,46.64238451996737,23.113738741825244,47.45484813363256,270597600,53778000
2016-01-05,23.136260986328125,48.09259033203125,23.843571336083546,48.38962009184693,23.068684582391132,47.64704735859906,23.821045868104548,47.9877572793265,223164000,34079700
2016-01-06,22.683494567871094,47.218963623046875,23.059676977036663,47.52473134880043,22.496531613200904,46.86078104851073,22.65195856498295,47.45484044031438,273829600,39518900
2016-01-07,21.72614860534668,45.576568603515625,22.555098693762698,46.72974538365971,21.72164419837296,45.48920829153578,22.2284750527924,46.039587588239186,324377600,56564900
2016-01-08,21.84103012084961,45.71636199951172,22.325335489351968,46.54629517101216,21.795979178070308,45.55911073210291,22.19919147470328,45.751304133593464,283192000,48754000
2016-01-11,22.19468879699707,45.690147399902344,22.314075360632692,46.170635862191325,21.926631005645223,44.95630932442327,22.293802948807883,45.8736060856264,198957600,36943800
2016-01-12,22.516809463500977,46.10948181152344,22.681248705661226,46.389038849216625,22.264519660836275,45.480480143005146,22.649712695151095,46.09200908009477,196616800,36095500
2016-01-13,21.93788719177246,45.113548278808594,22.793868697063594,47.23643629935033,21.91761478679566,44.81651858322632,22.597893522706244,47.000559482336584,249758400,66883600
2016-01-14,22.417695999145508,46.39778137207031,22.633945390167895,46.668600403970395,21.56622025186088,45.05241091508901,22.066293746255656,45.428066345708245,252680400,52381900
2016-01-15,21.879322052001953,44.545711517333984,22.00997218287025,45.40185537806295,21.480615908897953,43.97785939918322,21.66983191753492,44.825268560323735,319335600,71820700
2016-01-19,21.773456573486328,44.1700553894043,22.22171987191926,45.14850502377391,21.51215625892898,43.73324710034502,22.167658389749423,44.97378104163364,212350800,43564500
2016-01-20,21.802738189697266,44.37099075317383,22.118099967207257,44.886424713460386,21.043617548233343,42.894576471843244,21.42205133752865,43.66336006216184,289337600,63273000
2016-01-21,21.69236183166504,44.10015869140625,22.04826842385823,45.06113880110715,21.386010591829923,43.942907461320324,21.863556798538532,44.554439652478656,208646000,40191200
2016-01-22,22.845678329467773,45.68142318725586,22.85468886058117,45.71636865901124,22.15864208825636,44.78159561876473,22.21720796261881,44.91263947155559,263202000,37555800
2016-01-25,22.399669647216797,45.24460220336914,22.870458327659843,45.99591297421613,22.34785951963661,45.122296418828036,22.868205265091177,45.375642687127744,207178000,34707700
2016-01-26,22.523563385009766,45.576568603515625,22.72404301390903,45.81244544495994,22.09106812167091,45.03492733755957,22.51004844508774,45.244596751926395,300308000,28900800
2016-01-27,21.043617248535156,44.74664306640625,21.76669574806189,45.60278692967437,21.02559618297217,44.571919080873755,21.633794256347503,45.43679764375622,533478800,36775200
2016-01-28,21.19454002380371,45.4804801940918,21.29140110397176,45.611520681079874,20.811601828860308,44.77284956705825,21.12696360512257,45.3057562121916,222715200,62513800
2016-01-29,21.926620483398438,48.127532958984375,21.926620483398438,48.127532958984375,21.253099311510674,47.17529084383333,21.35221341575816,47.81303048681229,257666000,83611700
2016-02-01,21.721651077270508,47.79555892944336,21.7847231063766,48.12753413961126,21.48963537652286,47.61210026037,21.730661612654792,47.944075470537896,163774000,44208500
2016-02-02,21.282394409179688,46.301673889160156,21.633796633351107,47.40242919830204,21.237341740322073,45.99590945122698,21.494135937767894,47.32380358103601,149428800,56313800
2016-02-03,21.70362663269043,45.567832946777344,21.814002666468223,46.642380757919994,21.19229128885224,44.781576825169445,21.399528414724234,46.520074990688144,183857200,57559800
2016-02-04,21.878013610839844,45.42805862426758,22.04334511840949,46.13568919872146,21.558677038559985,44.877679288581234,21.710418542607215,45.51541894243509,185886800,46987100
2016-02-05,21.2936954498291,43.82059860229492,21.950489233076475,45.42805291569192,21.218958199443556,43.29643009399285,21.859896689195967,45.375634731828875,185672400,62009000
2016-02-08,21.51791000366211,43.165401458740234,21.67418035345721,43.305179998878046,21.071743199945878,42.099588007324854,21.092125612911335,43.28770726478791,216085600,59290500
2016-02-09,21.513381958007812,43.05183410644531,21.72853946722121,43.89050875296607,21.27331318376394,42.518927334282026,21.354846301037156,42.8246952086395,177324800,46740500
2016-02-10,21.350313186645508,43.4274787902832,21.82139297982677,44.021538323059005,21.311811921371458,43.26149284211277,21.724006308427843,43.58473003911108,169374400,38237000
2016-02-11,21.221221923828125,43.410011291503906,21.45223299889895,43.77693202719051,20.969828433379384,42.379143350523016,21.241606067115114,42.52765991790999,200298800,48878600
2016-02-12,21.286895751953125,44.11763000488281,21.40240125843209,44.274881229922634,21.06494589171672,43.46241767807762,21.33219287601772,43.89922589594775,161405600,34243300
2016-02-16,21.88707160949707,44.95354461669922,21.934632298950824,44.95354461669922,21.42731655020201,44.10885169152908,21.5201726406854,44.786366857502415,196231600,37291200
2016-02-17,22.222267150878906,46.123783111572266,22.242649566362235,46.43174629779717,21.77610029204698,45.270293002144776,21.893869391071842,45.30548937025798,179452800,40789000
